year,issue,company,ticker,sponsorType,meanActivist,modeDistinct
2010,gg,EXPRESS SCRIPTS HOLDING COMPANY,ESRX,union,0.0,0
2010,soc,GENERAL DYNAMICS CORPORATION,GD,religious,0.0,0
2010,soc,EXPRESS SCRIPTS HOLDING COMPANY,ESRX,union,0.0,0
2010,gg,"AUTONATION, INC.",AN,union,0.0,0
2010,gg,HERITAGE FINANCIAL CORPORATION,HFWA,Individual,1.0,0
2010,no-esg,"WINDSTREAM HOLDINGS, INC.",WIN,,0.0,0
2010,soc,"TECO ENERGY, INC.",TE,public pension,0.0,0
2010,gg,"COMVERGE, INC.",COMV,Individual,1.0,0
2010,soc,HESS CORPORATION,HES,SRI fund,0.0,0
2010,no-esg,"PEPSICO, INC.",PEP,Individual,0.0,0
2010,no-esg,"AUTONATION, INC.",AN,Individual,0.0,0
2010,soc,"PEPSICO, INC.",PEP,other,0.0,0
2010,soc,"PEPSICO, INC.",PEP,other,0.0,0
2010,gg,DTE ENERGY COMPANY,DTE,union,1.0,0
2010,no-esg,DUKE ENERGY CORPORATION,DUK,,0.0,0
2010,gg,UNION PACIFIC CORPORATION,UNP,Individual,1.0,0
2010,gg,VERIZON COMMUNICATIONS INC.,VZ,other,0.0,0
2010,gg,UNION PACIFIC CORPORATION,UNP,union,0.0,0
2010,no-esg,VERIZON COMMUNICATIONS INC.,VZ,union,0.0,0
2010,no-esg,VERIZON COMMUNICATIONS INC.,VZ,union,0.0,0
2010,gg,"BEMIS COMPANY, INC.",BMS,union,0.0,0
2010,soc,VERIZON COMMUNICATIONS INC.,VZ,religious,0.0,0
2010,soc,DTE ENERGY COMPANY,DTE,public pension,0.0,0
2010,env,DUKE ENERGY CORPORATION,DUK,,0.0,0
2010,gg,"PEOPLE'S UNITED FINANCIAL, INC.",PBCT,union,0.0,-1
2010,gg,FLUOR CORPORATION,FLR,fund,0.0,0
2010,env,MIRANT CORPORATION,MIR,public pension,0.0,0
2010,gg,ALTERA CORPORATION,ALTR,Individual,1.0,0
2010,env,"BUFFALO WILD WINGS, INC.",BWLD,Special Interest,0.0,0
2010,gg,ASTRONICS CORPORATION,ATRO,,1.0,1
2010,gg,"SMITHTOWN BANCORP, INC.",SMTB,Individual,0.0,1
2010,gg,DUKE ENERGY CORPORATION,DUK,,0.0,0
2010,no-esg,VERIZON COMMUNICATIONS INC.,VZ,Individual,0.0,0
2010,no-esg,COVANTA HOLDING CORPORATION,CVA,,0.0,0
2010,no-esg,VERIZON COMMUNICATIONS INC.,VZ,public pension,0.0,0
2010,no-esg,ECOLAB INC.,ECL,Individual,0.0,0
2010,gg,"PMC-SIERRA, INC.",PMCS,public pension,0.0,0
2010,env,ECOLAB INC.,ECL,SRI fund,0.0,0
